Series,Administrative,Population,Metro,cat.col,Date,TEPA,Station,latitude,longitude 
20,Cities,448803,No,AAACit,2009 Jul,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2009 Aug,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2009 Sep,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2009 Oct,CM,A,24.8282,121.0142
23,Cities,448803,No,AAACit,2009 Nov,CM,A,24.8282,121.0142
46,Cities,448803,No,AAACit,2009 Dec,CM,A,24.8282,121.0142
41,Cities,448803,No,AAACit,2010 Jan,CM,A,24.8282,121.0142
35,Cities,448803,No,AAACit,2010 Feb,CM,A,24.8282,121.0142
44,Cities,448803,No,AAACit,2010 Mar,CM,A,24.8282,121.0142
32,Cities,448803,No,AAACit,2010 Apr,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2010 May,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2010 Jun,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2010 Jul,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2010 Aug,CM,A,24.8282,121.0142
22,Cities,448803,No,AAACit,2010 Sep,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2010 Oct,CM,A,24.8282,121.0142
30,Cities,448803,No,AAACit,2010 Nov,CM,A,24.8282,121.0142
41,Cities,448803,No,AAACit,2010 Dec,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2011 Jan,CM,A,24.8282,121.0142
45,Cities,448803,No,AAACit,2011 Feb,CM,A,24.8282,121.0142
43,Cities,448803,No,AAACit,2011 Mar,CM,A,24.8282,121.0142
52,Cities,448803,No,AAACit,2011 Apr,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2011 May,CM,A,24.8282,121.0142
20,Cities,448803,No,AAACit,2011 Jun,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2011 Jul,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2011 Aug,CM,A,24.8282,121.0142
36,Cities,448803,No,AAACit,2011 Sep,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2011 Oct,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2011 Nov,CM,A,24.8282,121.0142
25,Cities,448803,No,AAACit,2011 Dec,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2012 Jan,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2012 Feb,CM,A,24.8282,121.0142
33,Cities,448803,No,AAACit,2012 Mar,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2012 Apr,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2012 May,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2012 Jun,CM,A,24.8282,121.0142
17,Cities,448803,No,AAACit,2012 Jul,CM,A,24.8282,121.0142
22,Cities,448803,No,AAACit,2012 Aug,CM,A,24.8282,121.0142
31,Cities,448803,No,AAACit,2012 Sep,CM,A,24.8282,121.0142
30,Cities,448803,No,AAACit,2012 Oct,CM,A,24.8282,121.0142
33,Cities,448803,No,AAACit,2012 Nov,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2012 Dec,CM,A,24.8282,121.0142
34,Cities,448803,No,AAACit,2013 Jan,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2013 Feb,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2013 Mar,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2013 Apr,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2013 May,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2013 Jun,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2013 Jul,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2013 Aug,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2013 Sep,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2013 Oct,CM,A,24.8282,121.0142
35,Cities,448803,No,AAACit,2013 Nov,CM,A,24.8282,121.0142
39,Cities,448803,No,AAACit,2013 Dec,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2014 Jan,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2014 Feb,CM,A,24.8282,121.0142
30,Cities,448803,No,AAACit,2014 Mar,CM,A,24.8282,121.0142
25,Cities,448803,No,AAACit,2014 Apr,CM,A,24.8282,121.0142
17,Cities,448803,No,AAACit,2014 May,CM,A,24.8282,121.0142
9,Cities,448803,No,AAACit,2014 Jun,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2014 Jul,CM,A,24.8282,121.0142
12,Cities,448803,No,AAACit,2014 Aug,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2014 Sep,CM,A,24.8282,121.0142
31,Cities,448803,No,AAACit,2014 Oct,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2014 Nov,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2014 Dec,CM,A,24.8282,121.0142
30,Cities,448803,No,AAACit,2015 Jan,CM,A,24.8282,121.0142
31,Cities,448803,No,AAACit,2015 Feb,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2015 Mar,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2015 Apr,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2015 May,CM,A,24.8282,121.0142
13,Cities,448803,No,AAACit,2015 Jun,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2015 Jul,CM,A,24.8282,121.0142
14,Cities,448803,No,AAACit,2015 Aug,CM,A,24.8282,121.0142
23,Cities,448803,No,AAACit,2015 Sep,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2015 Oct,CM,A,24.8282,121.0142
25,Cities,448803,No,AAACit,2015 Nov,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2015 Dec,CM,A,24.8282,121.0142
20,Cities,448803,No,AAACit,2016 Jan,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2016 Feb,CM,A,24.8282,121.0142
25,Cities,448803,No,AAACit,2016 Mar,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2016 Apr,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2016 May,CM,A,24.8282,121.0142
8,Cities,448803,No,AAACit,2016 Jun,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2016 Jul,CM,A,24.8282,121.0142
12,Cities,448803,No,AAACit,2016 Aug,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2016 Sep,CM,A,24.8282,121.0142
14,Cities,448803,No,AAACit,2016 Oct,CM,A,24.8282,121.0142
17,Cities,448803,No,AAACit,2016 Nov,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2016 Dec,CM,A,24.8282,121.0142
22,Cities,448803,No,AAACit,2017 Jan,CM,A,24.8282,121.0142
24,Cities,448803,No,AAACit,2017 Feb,CM,A,24.8282,121.0142
23,Cities,448803,No,AAACit,2017 Mar,CM,A,24.8282,121.0142
20,Cities,448803,No,AAACit,2017 Apr,CM,A,24.8282,121.0142
14,Cities,448803,No,AAACit,2017 May,CM,A,24.8282,121.0142
8,Cities,448803,No,AAACit,2017 Jun,CM,A,24.8282,121.0142
9,Cities,448803,No,AAACit,2017 Jul,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2017 Aug,CM,A,24.8282,121.0142
17,Cities,448803,No,AAACit,2017 Sep,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2017 Oct,CM,A,24.8282,121.0142
15,Cities,448803,No,AAACit,2017 Nov,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2017 Dec,CM,A,24.8282,121.0142
15,Cities,448803,No,AAACit,2018 Jan,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2018 Feb,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2018 Mar,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2018 Apr,CM,A,24.8282,121.0142
17,Cities,448803,No,AAACit,2018 May,CM,A,24.8282,121.0142
14,Cities,448803,No,AAACit,2018 Jun,CM,A,24.8282,121.0142
14,Cities,448803,No,AAACit,2018 Jul,CM,A,24.8282,121.0142
15,Cities,448803,No,AAACit,2018 Aug,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2018 Sep,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2018 Oct,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2018 Nov,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2018 Dec,CM,A,24.8282,121.0142
23,Cities,448803,No,AAACit,2019 Jan,CM,A,24.8282,121.0142
23,Cities,448803,No,AAACit,2019 Feb,CM,A,24.8282,121.0142
22,Cities,448803,No,AAACit,2019 Mar,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2019 Apr,CM,A,24.8282,121.0142
15,Cities,448803,No,AAACit,2019 May,CM,A,24.8282,121.0142
7,Cities,448803,No,AAACit,2019 Jun,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2019 Jul,CM,A,24.8282,121.0142
10,Cities,448803,No,AAACit,2019 Aug,CM,A,24.8282,121.0142
13,Cities,448803,No,AAACit,2019 Sep,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2019 Oct,CM,A,24.8282,121.0142
15,Cities,448803,No,AAACit,2019 Nov,CM,A,24.8282,121.0142
34,Counties,563933,No,ABACou,2006 Jan,CM,A,24.876872,121.05514
29,Counties,563933,No,ABACou,2006 Feb,CM,A,24.876872,121.05514
41,Counties,563933,No,ABACou,2006 Mar,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2006 Apr,CM,A,24.876872,121.05514
28,Counties,563933,No,ABACou,2006 May,CM,A,24.876872,121.05514
21,Counties,563933,No,ABACou,2006 Jun,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2006 Jul,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2006 Aug,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2006 Sep,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2006 Oct,CM,A,24.876872,121.05514
40,Counties,563933,No,ABACou,2006 Nov,CM,A,24.876872,121.05514
28,Counties,563933,No,ABACou,2006 Dec,CM,A,24.876872,121.05514
35,Counties,563933,No,ABACou,2007 Jan,CM,A,24.876872,121.05514
46,Counties,563933,No,ABACou,2007 Feb,CM,A,24.876872,121.05514
32,Counties,563933,No,ABACou,2007 Mar,CM,A,24.876872,121.05514
39,Counties,563933,No,ABACou,2007 Apr,CM,A,24.876872,121.05514
36,Counties,563933,No,ABACou,2007 May,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2007 Jun,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2007 Jul,CM,A,24.876872,121.05514
22,Counties,563933,No,ABACou,2007 Aug,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2007 Sep,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2007 Oct,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2007 Nov,CM,A,24.876872,121.05514
45,Counties,563933,No,ABACou,2007 Dec,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2008 Jan,CM,A,24.876872,121.05514
39,Counties,563933,No,ABACou,2008 Feb,CM,A,24.876872,121.05514
48,Counties,563933,No,ABACou,2008 Mar,CM,A,24.876872,121.05514
39,Counties,563933,No,ABACou,2008 Apr,CM,A,24.876872,121.05514
32,Counties,563933,No,ABACou,2008 May,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2008 Jun,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2008 Jul,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2008 Aug,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2008 Sep,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2008 Oct,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2008 Nov,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2008 Dec,CM,A,24.876872,121.05514
31,Counties,563933,No,ABACou,2009 Jan,CM,A,24.876872,121.05514
38,Counties,563933,No,ABACou,2009 Feb,CM,A,24.876872,121.05514
31,Counties,563933,No,ABACou,2009 Mar,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2009 Apr,CM,A,24.876872,121.05514
35,Counties,563933,No,ABACou,2009 May,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2009 Jun,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2009 Jul,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2009 Aug,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2009 Sep,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2009 Oct,CM,A,24.876872,121.05514
23,Counties,563933,No,ABACou,2009 Nov,CM,A,24.876872,121.05514
42,Counties,563933,No,ABACou,2009 Dec,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2010 Jan,CM,A,24.876872,121.05514
28,Counties,563933,No,ABACou,2010 Feb,CM,A,24.876872,121.05514
41,Counties,563933,No,ABACou,2010 Mar,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2010 Apr,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2010 May,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2010 Jun,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2010 Jul,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2010 Aug,CM,A,24.876872,121.05514
21,Counties,563933,No,ABACou,2010 Sep,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2010 Oct,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2010 Nov,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2010 Dec,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2011 Jan,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2011 Feb,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2011 Mar,CM,A,24.876872,121.05514
47,Counties,563933,No,ABACou,2011 Apr,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2011 May,CM,A,24.876872,121.05514
22,Counties,563933,No,ABACou,2011 Jun,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2011 Jul,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2011 Aug,CM,A,24.876872,121.05514
38,Counties,563933,No,ABACou,2011 Sep,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2011 Oct,CM,A,24.876872,121.05514
29,Counties,563933,No,ABACou,2011 Nov,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2011 Dec,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2012 Jan,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2012 Feb,CM,A,24.876872,121.05514
30,Counties,563933,No,ABACou,2012 Mar,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2012 Apr,CM,A,24.876872,121.05514
23,Counties,563933,No,ABACou,2012 May,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2012 Jun,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2012 Jul,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2012 Aug,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2012 Sep,CM,A,24.876872,121.05514
32,Counties,563933,No,ABACou,2012 Oct,CM,A,24.876872,121.05514
32,Counties,563933,No,ABACou,2012 Nov,CM,A,24.876872,121.05514
29,Counties,563933,No,ABACou,2012 Dec,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2013 Jan,CM,A,24.876872,121.05514
33,Counties,563933,No,ABACou,2013 Feb,CM,A,24.876872,121.05514
34,Counties,563933,No,ABACou,2013 Mar,CM,A,24.876872,121.05514
36,Counties,563933,No,ABACou,2013 Apr,CM,A,24.876872,121.05514
21,Counties,563933,No,ABACou,2013 May,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2013 Jun,CM,A,24.876872,121.05514
19,Counties,563933,No,ABACou,2013 Jul,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2013 Aug,CM,A,24.876872,121.05514
22,Counties,563933,No,ABACou,2013 Sep,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2013 Oct,CM,A,24.876872,121.05514
33,Counties,563933,No,ABACou,2013 Nov,CM,A,24.876872,121.05514
37,Counties,563933,No,ABACou,2013 Dec,CM,A,24.876872,121.05514
38,Counties,563933,No,ABACou,2014 Jan,CM,A,24.876872,121.05514
28,Counties,563933,No,ABACou,2014 Feb,CM,A,24.876872,121.05514
33,Counties,563933,No,ABACou,2014 Mar,CM,A,24.876872,121.05514
32,Counties,563933,No,ABACou,2014 Apr,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2014 May,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2014 Jun,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2014 Jul,CM,A,24.876872,121.05514
21,Counties,563933,No,ABACou,2014 Aug,CM,A,24.876872,121.05514
11,Counties,563933,No,ABACou,2014 Sep,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2014 Oct,CM,A,24.876872,121.05514
14,Counties,563933,No,ABACou,2014 Nov,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2014 Dec,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2015 Jan,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2015 Feb,CM,A,24.876872,121.05514
19,Counties,563933,No,ABACou,2015 Mar,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2015 Apr,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2015 May,CM,A,24.876872,121.05514
8,Counties,563933,No,ABACou,2015 Jun,CM,A,24.876872,121.05514
12,Counties,563933,No,ABACou,2015 Jul,CM,A,24.876872,121.05514
5,Counties,563933,No,ABACou,2015 Aug,CM,A,24.876872,121.05514
12,Counties,563933,No,ABACou,2015 Sep,CM,A,24.876872,121.05514
15,Counties,563933,No,ABACou,2015 Oct,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2015 Nov,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2015 Dec,CM,A,24.876872,121.05514
24,Counties,563933,No,ABACou,2016 Jan,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2016 Feb,CM,A,24.876872,121.05514
29,Counties,563933,No,ABACou,2016 Mar,CM,A,24.876872,121.05514
31,Counties,563933,No,ABACou,2016 Apr,CM,A,24.876872,121.05514
22,Counties,563933,No,ABACou,2016 May,CM,A,24.876872,121.05514
12,Counties,563933,No,ABACou,2016 Jun,CM,A,24.876872,121.05514
15,Counties,563933,No,ABACou,2016 Jul,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2016 Aug,CM,A,24.876872,121.05514
14,Counties,563933,No,ABACou,2016 Sep,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2016 Oct,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2016 Nov,CM,A,24.876872,121.05514
22,Counties,563933,No,ABACou,2016 Dec,CM,A,24.876872,121.05514
19,Counties,563933,No,ABACou,2017 Jan,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2017 Feb,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2017 Mar,CM,A,24.876872,121.05514
27,Counties,563933,No,ABACou,2017 Apr,CM,A,24.876872,121.05514
21,Counties,563933,No,ABACou,2017 May,CM,A,24.876872,121.05514
14,Counties,563933,No,ABACou,2017 Jun,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2017 Jul,CM,A,24.876872,121.05514
15,Counties,563933,No,ABACou,2017 Aug,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2017 Sep,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2017 Oct,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2017 Nov,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2017 Dec,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2018 Jan,CM,A,24.876872,121.05514
26,Counties,563933,No,ABACou,2018 Feb,CM,A,24.876872,121.05514
25,Counties,563933,No,ABACou,2018 Mar,CM,A,24.876872,121.05514
29,Counties,563933,No,ABACou,2018 Apr,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2018 May,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2018 Jun,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2018 Jul,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2018 Aug,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2018 Sep,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2018 Oct,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2018 Nov,CM,A,24.876872,121.05514
15,Counties,563933,No,ABACou,2018 Dec,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2019 Jan,CM,A,24.876872,121.05514
17,Counties,563933,No,ABACou,2019 Feb,CM,A,24.876872,121.05514
19,Counties,563933,No,ABACou,2019 Mar,CM,A,24.876872,121.05514
20,Counties,563933,No,ABACou,2019 Apr,CM,A,24.876872,121.05514
18,Counties,563933,No,ABACou,2019 May,CM,A,24.876872,121.05514
11,Counties,563933,No,ABACou,2019 Jun,CM,A,24.876872,121.05514
10,Counties,563933,No,ABACou,2019 Jul,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2019 Aug,CM,A,24.876872,121.05514
13,Counties,563933,No,ABACou,2019 Sep,CM,A,24.876872,121.05514
19,Counties,563933,No,ABACou,2019 Oct,CM,A,24.876872,121.05514
16,Counties,563933,No,ABACou,2019 Nov,CM,A,24.876872,121.05514
36,Counties,563933,No,ABBCou,2006 Jan,CM,A,24.732,121.091
32,Counties,563933,No,ABBCou,2006 Feb,CM,A,24.732,121.091
38,Counties,563933,No,ABBCou,2006 Mar,CM,A,24.732,121.091
33,Counties,563933,No,ABBCou,2006 Apr,CM,A,24.732,121.091
NA,Counties,563933,No,ABBCou,2006 May,CM,A,24.732,121.091
21,Counties,563933,No,ABBCou,2006 Jun,CM,A,24.732,121.091
NA,Counties,563933,No,ABBCou,2006 Jul,CM,A,24.732,121.091
NA,Counties,563933,No,ABBCou,2006 Aug,CM,A,24.732,121.091
23,Counties,563933,No,ABBCou,2006 Sep,CM,A,24.732,121.091
30,Counties,563933,No,ABBCou,2006 Oct,CM,A,24.732,121.091
31,Counties,563933,No,ABBCou,2006 Nov,CM,A,24.732,121.091
20,Counties,563933,No,ABBCou,2006 Dec,CM,A,24.732,121.091
26,Counties,563933,No,ABBCou,2007 Jan,CM,A,24.732,121.091
41,Counties,563933,No,ABBCou,2007 Feb,CM,A,24.732,121.091
29,Counties,563933,No,ABBCou,2007 Mar,CM,A,24.732,121.091
NA,Counties,563933,No,ABBCou,2007 Apr,CM,A,24.732,121.091
33,Counties,563933,No,ABBCou,2007 May,CM,A,24.732,121.091
14,Counties,563933,No,ABBCou,2007 Jun,CM,A,24.732,121.091
21,Counties,563933,No,ABBCou,2007 Jul,CM,A,24.732,121.091
17,Counties,563933,No,ABBCou,2007 Aug,CM,A,24.732,121.091
25,Counties,563933,No,ABBCou,2007 Sep,CM,A,24.732,121.091
17,Counties,563933,No,ABBCou,2007 Oct,CM,A,24.732,121.091
20,Counties,563933,No,ABBCou,2007 Nov,CM,A,24.732,121.091
32,Counties,563933,No,ABBCou,2007 Dec,CM,A,24.732,121.091
24,Counties,563933,No,ABBCou,2008 Jan,CM,A,24.732,121.091
25,Counties,563933,No,ABBCou,2008 Feb,CM,A,24.732,121.091
39,Counties,563933,No,ABBCou,2008 Mar,CM,A,24.732,121.091
32,Counties,563933,No,ABBCou,2008 Apr,CM,A,24.732,121.091
25,Counties,563933,No,ABBCou,2008 May,CM,A,24.732,121.091
17,Counties,563933,No,ABBCou,2008 Jun,CM,A,24.732,121.091
17,Counties,563933,No,ABBCou,2008 Jul,CM,A,24.732,121.091
27,Counties,563933,No,ABBCou,2008 Aug,CM,A,24.732,121.091
26,Counties,563933,No,ABBCou,2008 Sep,CM,A,24.732,121.091
27,Counties,563933,No,ABBCou,2008 Oct,CM,A,24.732,121.091
